y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,n2_log_base2,AGI_per_person,log10AGI,region,log_base_e_AGI_per_person
42,PA,pennsylvania,17,IL,illinois,1943,3087,176262000,11.5919897676151,57098.1535471331,8.24615869364288,illinois,10.9525270579432
42,PA,pennsylvania,47,TN,tennessee,1917,3533,155392000,11.7866780338907,43983.0172657798,8.19142865638711,tennessee,10.6915588671621
42,PA,pennsylvania,54,WV,west virginia,1862,3343,105842000,11.7069276396174,31660.7837271911,8.02465803772477,west virginia,10.3628340876198
42,PA,pennsylvania,53,WA,washington,1736,2659,138097000,11.3766680618577,51935.6901090636,8.14018424412825,washington,10.8577615035117
42,PA,pennsylvania,26,MI,michigan,1504,2729,109034000,11.4141566792741,39953.8292414804,8.03756194482051,michigan,10.5954797974516
42,PA,pennsylvania,9,CT,connecticut,1312,2185,109086000,11.093417564388,49924.942791762,8.03776901719798,connecticut,10.8182760123998
42,PA,pennsylvania,18,IN,indiana,1100,2127,79709000,11.0546043179607,37474.8472026328,7.90150736066417,indiana,10.5314252456478
42,PA,pennsylvania,11,DC,district of columbia,853,1002,58044000,9.96866679319521,57928.1437125748,7.76375733343608,district of columbia,10.9669586199483
42,PA,pennsylvania,29,MO,missouri,836,1616,62729000,10.6582114827518,38817.4504950495,7.79746836424794,missouri,10.5666251795289
42,PA,pennsylvania,32,NV,nevada,805,1353,50187000,10.4019461239765,37093.1263858093,7.70059123588158,nevada,10.5211869588107
42,PA,pennsylvania,21,KY,kentucky,795,1607,66239000,10.6501542136751,41219.0416925949,7.82111376734929,kentucky,10.6266556055715
42,PA,pennsylvania,41,OR,oregon,766,1157,54145000,10.1761731491075,46797.7528089888,7.73355835804964,oregon,10.7535904638509
42,PA,pennsylvania,1,AL,alabama,688,1400,46650000,10.4512111118323,33321.4285714286,7.66885164808252,alabama,10.4139559696543
42,PA,pennsylvania,55,WI,wisconsin,686,1208,58355000,10.2384047393251,48307.119205298,7.76607807339558,wisconsin,10.7853342243338
42,PA,pennsylvania,27,MN,minnesota,662,1140,51657000,10.1548181090521,45313.1578947368,7.71312918075178,minnesota,10.7213527305479
42,PA,pennsylvania,49,UT,utah,605,1164,63309000,10.1848753429083,54389.175257732,7.8014654536587,utah,10.9039204288112
42,PA,pennsylvania,22,LA,louisiana,562,1042,35872000,10.0251395622785,34426.103646833,7.55475559091488,louisiana,10.4465703825407
42,PA,pennsylvania,23,ME,maine,547,915,44939000,9.8376279331714,49113.6612021858,7.65262340410194,maine,10.8018925073069
42,PA,pennsylvania,33,NH,new hampshire,490,855,50425000,9.73978060977326,58976.6081871345,7.7026459068848,new hampshire,10.9848961728678
42,PA,pennsylvania,40,OK,oklahoma,464,932,27866000,9.86418614465428,29899.1416309013,7.44507463277493,oklahoma,10.3055850509701
42,PA,pennsylvania,44,RI,rhode island,409,671,27798000,9.39016895620018,41427.7198211624,7.4440135505868,rhode island,10.6317054966552
42,PA,pennsylvania,35,NM,new mexico,392,639,24837000,9.319672120947,38868.544600939,7.39509913731257,new mexico,10.5679405804115
42,PA,pennsylvania,20,KS,kansas,389,723,27307000,9.49785183695112,37769.0179806362,7.43627399032605,kansas,10.5392444153853
42,PA,pennsylvania,19,IA,iowa,369,705,26359000,9.46147944728616,37388.6524822695,7.420928930098,iowa,10.5291225277996
42,PA,pennsylvania,50,VT,vermont,347,564,27765000,9.13955135239879,49228.7234042553,7.44349767780859,vermont,10.8042325411598
42,PA,pennsylvania,5,AR,arkansas,342,625,22569000,9.28771237954945,36110.4,7.35351231653885,arkansas,10.4943361914741
42,PA,pennsylvania,15,HI,hawaii,336,591,21120000,9.20701432017753,35736.0406091371,7.32469391386177,hawaii,10.4839149993962
42,PA,pennsylvania,28,MS,mississippi,320,650,22174000,9.34429590791582,34113.8461538462,7.34584404319262,mississippi,10.4374586264248
42,PA,pennsylvania,30,MT,montana,282,577,19663000,9.17242750864548,34077.9896013865,7.29364977921584,montana,10.4364069886336
42,PA,pennsylvania,16,ID,idaho,268,552,20384000,9.10852445677817,36927.5362318841,7.30928941065526,idaho,10.5167127910769
42,PA,pennsylvania,2,AK,alaska,230,377,12215000,8.55842071326866,32400.5305039788,7.08689347130946,alaska,10.385930075226
42,PA,pennsylvania,31,NE,nebraska,212,424,12706000,8.7279204545632,29966.9811320755,7.10400885099924,nebraska,10.3078514255767
42,PA,pennsylvania,56,WY,wyoming,164,329,12401000,8.36194377373524,37693.009118541,7.0934567074986,wyoming,10.5372299217195
42,PA,pennsylvania,46,SD,south dakota,164,316,9903000,8.3037807481771,31338.6075949367,6.99576677904997,south dakota,10.3526060859165
42,PA,pennsylvania,38,ND,north dakota,153,286,7006000,8.15987133677839,24496.5034965035,6.84547013298167,north dakota,10.1062856719197
44,RI,rhode island,44,RI,rhode island,424076,820934,33951933000,19.6469067138575,41357.6889250537,10.5308645051949,rhode island,10.6300136305673
44,RI,rhode island,25,MA,massachusetts,4968,7757,358557000,12.9212830863074,46223.6689441795,8.55455820552048,massachusetts,10.7412472606905
44,RI,rhode island,12,FL,florida,2161,3828,223303000,11.902375114486,58334.1170323929,8.34889455770957,florida,10.9739423989883
44,RI,rhode island,9,CT,connecticut,1724,2876,106047000,11.4898479604393,36873.0876216968,8.02549838712062,connecticut,10.5152372311908
44,RI,rhode island,36,NY,new york,953,1350,54712000,10.3987436919382,40527.4074074074,7.73808259072497,new york,10.6097337503276
44,RI,rhode island,6,CA,california,822,1276,57964000,10.3174126137649,45426.3322884013,7.76315834777889,california,10.7238472222432
44,RI,rhode island,37,NC,north carolina,503,971,35518000,9.92332748541919,36578.7847579815,7.55044850289997,north carolina,10.5072236999054
44,RI,rhode island,48,TX,texas,491,890,32411000,9.79766152585376,36416.8539325843,7.51069243084036,texas,10.50278696659
44,RI,rhode island,51,VA,virginia,453,965,43473000,9.91438513215544,45049.7409326425,7.63821961117059,virginia,10.7155225123572
44,RI,rhode island,33,NH,new hampshire,413,691,38227000,9.43254190038826,55321.2735166425,7.5823702165498,new hampshire,10.9209128064219
44,RI,rhode island,42,PA,pennsylvania,395,663,24389000,9.37286506011259,36785.8220211161,7.38719399369687,pennsylvania,10.5128677787557
44,RI,rhode island,34,NJ,new jersey,362,560,21808000,9.12928301694497,38942.8571428571,7.3386158384906,new jersey,10.5698506491893
44,RI,rhode island,23,ME,maine,313,506,22605000,8.98299357469431,44673.9130434783,7.35420451137031,maine,10.7071450094234
44,RI,rhode island,45,SC,south carolina,291,545,20435000,9.09011241966429,37495.4128440367,7.31037464204761,south carolina,10.5319738803173
44,RI,rhode island,13,GA,georgia,278,517,16965000,9.01402047031493,32814.3133462282,7.22955386398114,georgia,10.398620081692
44,RI,rhode island,24,MD,maryland,244,404,15559000,8.6582114827518,38512.3762376238,7.19198168080033,maryland,10.558734929336
44,RI,rhode island,53,WA,washington,224,388,15806000,8.59991284218713,40737.1134020619,7.19882197760321,washington,10.6148948331238
44,RI,rhode island,8,CO,colorado,223,341,17758000,8.41362792902417,52076.2463343109,7.24939405165235,colorado,10.8604641992909
44,RI,rhode island,4,AZ,arizona,195,314,13664000,8.29462074889163,43515.923566879,7.13557785334493,arizona,10.6808822091022
44,RI,rhode island,47,TN,tennessee,180,351,11604000,8.45532722030456,33059.8290598291,7.06460772013063,tennessee,10.4060742007576
44,RI,rhode island,17,IL,illinois,166,239,13346000,7.90086680798075,55841.0041841004,7.12535112051475,illinois,10.9302637205142
44,RI,rhode island,39,OH,ohio,163,291,8601000,8.18487534290828,29556.7010309278,6.93454894766615,ohio,10.2940657663621
44,RI,rhode island,50,VT,vermont,145,231,9144000,7.85174904141606,39584.4155844156,6.96113621738723,vermont,10.586190773935
44,RI,rhode island,26,MI,michigan,118,245,6229000,7.93663793900257,25424.4897959184,6.79441833087414,michigan,10.1434681536916
44,RI,rhode island,29,MO,missouri,85,184,6006000,7.52356195605701,32641.3043478261,6.77858532786296,missouri,10.3933337699164
44,RI,rhode island,18,IN,indiana,82,170,5484000,7.4093909361377,32258.8235294118,6.73909744611747,indiana,10.3815468826141
44,RI,rhode island,11,DC,district of columbia,82,95,5435000,6.56985560833095,57210.5263157895,6.73519954842231,district of columbia,10.9544931869369
