y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
6,CA,California,23,ME,Maine,1058,1763,130607
6,CA,California,44,RI,Rhode Island,819,1378,94350
6,CA,California,38,ND,North Dakota,777,1534,44935
6,CA,California,50,VT,Vermont,563,950,68754
6,CA,California,10,DE,Delaware,517,891,51539
6,CA,California,54,WV,West Virginia,422,747,24712
8,CO,Colorado,96,CO,CO Total Migration-US and Foreign,106003,194607,7722911
8,CO,Colorado,97,CO,CO Total Migration-US,104968,192270,7656988
8,CO,Colorado,98,CO,CO Total Migration-Foreign,1035,2337,65923
8,CO,Colorado,97,CO,CO Total Migration-Same State,145090,247327,9774552
8,CO,Colorado,8,CO,CO Non-migrants,2066210,4290922,201072892
8,CO,Colorado,48,TX,Texas,11889,23728,897986
8,CO,Colorado,6,CA,California,9111,14782,740399
8,CO,Colorado,12,FL,Florida,8061,14714,696928
8,CO,Colorado,4,AZ,Arizona,6901,12782,579791
8,CO,Colorado,53,WA,Washington,3650,6377,272969
8,CO,Colorado,37,NC,North Carolina,3035,5639,230359
8,CO,Colorado,35,NM,New Mexico,2930,5161,168664
8,CO,Colorado,17,IL,Illinois,2716,4413,188217
8,CO,Colorado,29,MO,Missouri,2665,4998,152009
8,CO,Colorado,13,GA,Georgia,2619,5483,173592
8,CO,Colorado,49,UT,Utah,2447,5086,185467
8,CO,Colorado,51,VA,Virginia,2407,4698,173892
8,CO,Colorado,56,WY,Wyoming,2385,4456,167896
8,CO,Colorado,40,OK,Oklahoma,2345,4882,145921
8,CO,Colorado,41,OR,Oregon,2327,3724,145794
8,CO,Colorado,36,NY,New York,2323,3500,165279
8,CO,Colorado,20,KS,Kansas,2224,4490,130436
8,CO,Colorado,47,TN,Tennessee,2162,4195,154182
8,CO,Colorado,32,NV,Nevada,2052,3650,155693
8,CO,Colorado,26,MI,Michigan,1969,3417,133116
8,CO,Colorado,39,OH,Ohio,1885,3449,123718
8,CO,Colorado,31,NE,Nebraska,1817,3456,108415
8,CO,Colorado,27,MN,Minnesota,1799,3074,123226
8,CO,Colorado,42,PA,Pennsylvania,1772,2906,131857
8,CO,Colorado,55,WI,Wisconsin,1736,2969,112033
8,CO,Colorado,30,MT,Montana,1599,2902,151240
8,CO,Colorado,16,ID,Idaho,1415,3027,114317
8,CO,Colorado,45,SC,South Carolina,1413,2757,111350
8,CO,Colorado,18,IN,Indiana,1302,2341,71341
8,CO,Colorado,19,IA,Iowa,1245,2168,73753
8,CO,Colorado,25,MA,Massachusetts,1186,1692,86446
8,CO,Colorado,24,MD,Maryland,1074,1857,73321
8,CO,Colorado,57,FR,Foreign,1035,2337,65923
8,CO,Colorado,5,AR,Arkansas,1029,1960,62642
8,CO,Colorado,1,AL,Alabama,1019,2126,65774
8,CO,Colorado,15,HI,Hawaii,927,1795,62120
8,CO,Colorado,46,SD,South Dakota,926,1803,61845
8,CO,Colorado,21,KY,Kentucky,877,1790,53880
8,CO,Colorado,22,LA,Louisiana,829,1564,48429
8,CO,Colorado,34,NJ,New Jersey,803,1245,54654
8,CO,Colorado,2,AK,Alaska,572,1115,42307
8,CO,Colorado,38,ND,North Dakota,520,1049,31867
8,CO,Colorado,28,MS,Mississippi,502,979,26283
8,CO,Colorado,9,CT,Connecticut,494,774,46450
8,CO,Colorado,23,ME,Maine,467,770,42531
8,CO,Colorado,33,NH,New Hampshire,401,669,32871
8,CO,Colorado,50,VT,Vermont,329,546,23198
8,CO,Colorado,11,DC,District Of Columbia,307,414,24565
8,CO,Colorado,54,WV,West Virginia,205,402,16254
8,CO,Colorado,44,RI,Rhode Island,154,229,11375
8,CO,Colorado,10,DE,Delaware,146,267,10337
9,CT,Connecticut,96,CT,CT Total Migration-US and Foreign,51277,87076,6006161
9,CT,Connecticut,97,CT,CT Total Migration-US,50929,86391,5988131
